param,index,subindex,name,range,unit,default,rw,type,notes
P01.02,0x2001,0x03,Servo drive number,0~65535,-,-,RW,Uint16,
P01.50,0x2001,0x32,Software version number,-,-,-,RO,Uint16,
P02.00,0x2002,0x01,Control mode selection,9=EtherCAT,-,9,RO,Uint16,Fixed at 9 for EtherCAT
P02.01,0x2002,0x02,Encoder type selection,"0=Incremental, 1=Absolute",-,0,RW,Uint16,Restart required
P02.02,0x2002,0x03,Rotation direction selection,"0=CCW forward, 1=CW forward",-,0,RW,Uint16,Restart required
P02.03,0x2002,0x04,Output pulse phase,"0=CCW forward (A leads B), 1=CW forward (A lags B)",-,0,RW,Uint16,Restart required
P02.05,0x2002,0x06,Servo enable OFF shutdown mode,"0=coast+free, 1=zero speed+free",-,0,RW,Uint16,
P02.07,0x2002,0x08,Overtravel stop mode,"0=coast+free, 1=zero speed+position locked, 2=zero speed+free",-,1,RW,Uint16,
P02.08,0x2002,0x09,Fault shutdown mode,-,-,0,RW,Uint16,
P02.09,0x2002,0x0A,Brake ON to command reception delay,0~500,ms,250,RW,Uint16,
P02.10,0x2002,0x0B,Static brake OFF to motor off delay,1~1000,ms,150,RW,Uint16,
P02.11,0x2002,0x0C,Rotating brake OFF speed threshold,0~3000,rpm,30,RW,Uint16,
P02.12,0x2002,0x0D,Rotating servo OFF to brake OFF delay,1~1000,ms,500,RW,Uint16,
P02.15,0x2002,0x10,LED warning display selection,"0=immediate, 1=suppress",-,0,RW,Uint16,
P02.21,0x2002,0x16,Min braking resistor value,-,Ω,40,RO,Uint16,
P02.22,0x2002,0x17,Built-in braking resistor power,-,W,50,RO,Uint16,
P02.23,0x2002,0x18,Built-in braking resistor resistance,-,Ω,50,RO,Uint16,
P02.24,0x2002,0x19,Resistor heat dissipation coefficient,10~100,%,30,RW,Uint16,
P02.25,0x2002,0x1A,Braking resistor settings,"0=built-in, 1=external natural, 2=external forced, 3=none",-,0,RW,Uint16,
P02.26,0x2002,0x1B,External braking resistor power,1~65535,W,-,RW,Uint16,
P02.27,0x2002,0x1C,External braking resistor resistance,1~1000,Ω,-,RW,Uint16,
P02.31,0x2002,0x20,System parameter initialization,"0=none, 1=factory reset (except P00/P01), 2=clear faults",-,0,RW,Uint16,
P02.32,0x2002,0x21,Panel default display,0~99,-,50,RW,Uint16,
P03.00,0x2003,0x01,DI function allocation power-on 1,0000~FFFF hex,-,0,RW,Uint16,FunIN.1~16; restart required
P03.01,0x2003,0x02,DI function allocation power-on 2,0000~FFFF hex,-,0,RW,Uint16,FunIN.17~32; restart required
P03.02,0x2003,0x03,DI0 terminal function selection,0~39,-,14,RW,Uint16,14=P-OT (forward overtravel)
P03.03,0x2003,0x04,DI0 terminal logic selection,"0=low active, 1=high active, 2=rising edge, 3=falling edge, 4=both edges",-,0,RW,Uint16,
P03.04,0x2003,0x05,DI1 terminal function selection,0~39,-,15,RW,Uint16,15=N-OT (reverse overtravel)
P03.05,0x2003,0x06,DI1 terminal logic selection,see P03.03,-,0,RW,Uint16,
P03.06,0x2003,0x07,DI2 terminal function selection,0~39,-,31,RW,Uint16,31=HomeSwitch (origin switch)
P03.07,0x2003,0x08,DI2 terminal logic selection,see P03.03,-,0,RW,Uint16,
P03.08,0x2003,0x09,DI3 terminal function selection,0~39,-,0,RW,Uint16,
P03.09,0x2003,0x0A,DI3 terminal logic selection,see P03.03,-,0,RW,Uint16,
P03.10,0x2003,0x0B,DI4 terminal function selection,0~39,-,0,RW,Uint16,
P03.11,0x2003,0x0C,DI4 terminal logic selection,see P03.03,-,0,RW,Uint16,
P03.34,0x2003,0x23,DI function allocation power-on 3,0000~FFFF hex,-,0,RW,Uint16,FunIN.33~48; restart required
P04.00,0x2004,0x01,DO0 terminal function selection,0~20,-,1,RW,Uint16,1=S-RDY (servo ready)
P04.01,0x2004,0x02,DO0 terminal logic selection,"0=low active, 1=high active",-,0,RW,Uint16,
P04.02,0x2004,0x03,DO1 terminal function selection,0~20,-,5,RW,Uint16,5=COIN (positioning complete)
P04.03,0x2004,0x04,DO1 terminal logic selection,see P04.01,-,0,RW,Uint16,
P04.04,0x2004,0x05,DO2 terminal function selection,0~20,-,3,RW,Uint16,3=zero speed
P04.05,0x2004,0x06,DO2 terminal logic selection,see P04.01,-,0,RW,Uint16,
P04.22,0x2004,0x17,DO source selection,-,-,0,RW,Uint16,
P05.04,0x2005,0x05,First-order LPF filter time constant,0~6553.5,ms,0.0,RW,Uint16,Stop setting
P05.06,0x2005,0x07,Average filter time constant,0.0~128.0,ms,0.0,RW,Uint16,Stop setting
P05.16,0x2005,0x11,Clear position deviation action selection,0~2,-,0,RW,Uint16,Stop setting
P05.17,0x2005,0x12,Encoder frequency division pulse number,-,encoder unit,2500,RW,Uint16,Restart required
P05.19,0x2005,0x14,Speed feedforward control selection,"0=none, 1=internal feedforward, 2=use 60B1h as feedforward",-,1,RW,Uint16,Stop setting; see P08.19 for gain
P05.31,0x2005,0x20,Return to origin mode,0~9,encoder unit,0,RW,Uint16,Stop setting
P05.35,0x2005,0x24,Origin search time limit,0~65535,×10ms,5000,RW,Uint16,
P05.44,0x2005,0x2D,Encoder multi-turn data offset,0~65535,encoder unit,0,RW,Uint16,Stop setting
P05.46,0x2005,0x2F,Absolute position linear mode bias low 32-bit,-2147483648~2147483647,encoder unit,0,RW,Int32,Stop setting
P05.48,0x2005,0x31,Absolute position linear mode bias high 32-bit,-2147483648~2147483647,encoder unit,0,RW,Int32,Stop setting
P05.61,0x2005,0x3E,Position arrival threshold unit selection,"0=encoder unit, 1=command unit",-,1,RW,Uint16,Stop setting
P06.04,0x2006,0x05,Jog speed setting value,0~6000,rpm,100,RW,Uint16,
P06.11,0x2006,0x0C,Torque feedforward control selection,"1=internal, 2=use 60B2h",-,1,RW,Uint16,
P06.15,0x2006,0x10,Zero position fixed speed threshold,0~6000,rpm,10,RW,Uint16,
P07.05,0x2007,0x06,Torque command filter time constant,0~30.00,ms,0.79,RW,Uint16,
P07.06,0x2007,0x07,2nd torque command filter time constant,0~30.00,ms,0.79,RW,Uint16,
P07.07,0x2007,0x08,Torque limit source,"0=±internal, 1=±external EtherCAT, 2=min(±internal/±external), 3=min(±internal/±EtherCAT), 4=switching P-CL/N-CL",-,2,RW,Uint16,
